Relay URL,Latitude,Longitude
relay.nosto.re,51.1792,5.89444
nostr.n7ekb.net,36.1527,-95.9902
nostr.spaceshell.xyz,43.6532,-79.3832
relay.edino.net,56.6268,47.9193
nostrride.io,37.3986,-121.964
relay.bitmacro.pro,43.6532,-79.3832
myvoiceourstory.org,37.3598,-121.981
relay.klabo.world,47.674,-122.122
strfry.shock.network,39.0438,-77.4874
relay.mostr.pub,43.6532,-79.3832
no.str.cr,10.074,-84.2155
nostr.jerrynya.fun,31.2304,121.474
nostr.computingcache.com,34.0356,-118.442
nostr-relayrs.gateway.in.th,15.5163,103.194
nostr.thalheim.io,60.1699,24.9384
testnet-relay.samt.st,40.8302,-74.1299
plebchain.club,43.6532,-79.3832
relay.tagayasu.xyz,45.4215,-75.6972
nostr.ac,38.958,-77.3592
relay.illuminodes.com,47.6062,-122.332
nostr-relay.amethyst.name,39.0067,-77.4291
nrs-01.darkcloudarcade.com,39.1008,-94.5811
relay.olas.app,50.4754,12.3683
yabu.me,35.6092,139.73
khatru.nostrver.se,51.1792,5.89444
orly-relay.imwald.eu,48.8575,2.35138
relay.ohstr.com,43.6532,-79.3832
wot.nostr.place,32.7767,-96.797
wot.shaving.kiwi,43.6532,-79.3832
nostr-kyomu-haskell.onrender.com,37.7775,-122.397
nostr-relay.gateway.in.th,15.5163,103.194
nostr.hekster.org,37.3986,-121.964
relay.flashapp.me,43.652,-79.3633
api.freefrom.space/v1/ws,43.6532,-79.3832
nostr-dev.wellorder.net,45.5201,-122.99
bbw-nostr.xyz,41.5284,-87.4237
relay-fra.zombi.cloudrodion.com,48.8566,2.35222
nostr.wecsats.io,43.6532,-79.3832
strfry.bonsai.com,37.8716,-122.273
testrelay.era21.space,43.6532,-79.3832
nostr.rblb.it,43.7094,10.6582
nostr.0cx.de,49.029,8.35695
relay-nl.zombi.cloudrodion.com,50.8943,6.06237
relay.agorist.space,52.3734,4.89406
nostr-relay.zimage.com,34.0549,-118.243
relay.lanacoin-eternity.com,40.8302,-74.1299
nostr.bitczat.pl,60.1699,24.9384
relay.minibolt.info,43.6532,-79.3832
wot.girino.org,43.6532,-79.3832
nostr.red5d.dev,43.6532,-79.3832
relay.cypherflow.ai,48.8575,2.35138
relay.layer.systems,49.0291,8.35695
nostrcity-club.fly.dev,48.8575,2.35138
inbox.scuba323.com,40.8218,-74.45
nostr-rs-relay-qj1h.onrender.com,37.7775,-122.397
lightning.red,53.3498,-6.26031
adre.su,59.9311,30.3609
nostr.aruku.ovh,1.27994,103.849
temp.iris.to,43.6532,-79.3832
prl.plus,55.7628,37.5983
kanagrovv-pyramid.kozow.com,43.4305,-83.9638
relay.decentnewsroom.com,50.4754,12.3683
nostrelay.circum.space,52.3676,4.90414
nostr-01.yakihonne.com,1.29524,103.79
nostr-relay.nextblockvending.com,47.2343,-119.853
kotukonostr.onrender.com,37.7775,-122.397
herbstmeister.com,34.0549,-118.243
premium.primal.net,43.6532,-79.3832
relay.bullishbounty.com,43.6532,-79.3832
nrs-02.darkcloudarcade.com,39.9526,-75.1652
nostr.faultables.net,43.6532,-79.3832
nostr.88mph.life,51.5072,-0.127586
relay.qstr.app,51.5072,-0.127586
nostr.carroarmato0.be,51.0368,3.21186
relay5.bitransfer.org,43.6532,-79.3832
nostr-pub.wellorder.net,45.5201,-122.99
nostr.bond,50.1109,8.68213
nostr-02.yakihonne.com,1.32123,103.695
pyramid.self-determined.de,53.5,10.25
freelay.sovbit.host,64.1476,-21.9392
spookstr2.nostr1.com,38.6327,-90.1961
ephemeral.snowflare.cc,43.6532,-79.3832
nostrcheck.tnsor.network,43.6532,-79.3832
strfry.apps3.slidestr.net,40.4167,-3.70329
nostr-rs-relay.dev.fedibtc.com,39.0438,-77.4874
ynostr.yael.at,60.1699,24.9384
relay.degmods.com,50.4754,12.3683
nostr.simplex.icu,50.1109,8.68213
relay.openresist.com,43.6532,-79.3832
relay.0xchat.com,43.6532,-79.3832
relay.snort.social,53.3498,-6.26031
wot.codingarena.top,50.4754,12.3683
nostr.myshosholoza.co.za,52.3913,4.66545
r.0kb.io,32.789,-96.7989
relay-dev.gulugulu.moe,43.6532,-79.3832
relay.bitmacro.cloud,43.6532,-79.3832
nittom.nostr1.com,38.6327,-90.1961
bcast.seutoba.com.br,43.6532,-79.3832
theoutpost.life,64.1476,-21.9392
nostr.chaima.info,50.1109,8.68213
relay-freeharmonypeople.space,38.7223,-9.13934
relay.satlantis.io,32.8769,-80.0114
nostr.huszonegy.world,47.4979,19.0402
wot.sudocarlos.com,43.6532,-79.3832
nostr-relay.corb.net,38.8353,-104.822
nostr.aruku.kro.kr,37.3589,127.115
nostr.dpinkerton.com,39.1008,-94.5811
relay.bao.network,43.6532,-79.3832
relayrs.notoshi.win,43.6532,-79.3832
relay.spacetomatoes.net,42.3601,-71.0589
relay.npubhaus.com,43.6532,-79.3832
relay.ditto.pub,43.6532,-79.3832
relay-rpi.edufeed.org,49.4521,11.0767
bcast.girino.org,43.6532,-79.3832
relay.islandbitcoin.com,12.8498,77.6545
relay.erybody.com,41.4513,-81.7021
nostr.luisschwab.net,43.6532,-79.3832
relay.laantungir.net,-19.4692,-42.5315
nostr.girino.org,43.6532,-79.3832
nostr.tac.lol,47.4748,-122.273
relay.seq1.net,43.6532,-79.3832
relay.malxte.de,52.52,13.405
nostr-relay-1.trustlessenterprise.com,43.6532,-79.3832
tenex.chat,50.4754,12.3683
relay.lab.rytswd.com,49.4543,11.0746
discovery.us.nostria.app,52.3676,4.90414
bitcoiner.social,47.6743,-117.112
relay.lacompagniemaximus.com,45.3147,-73.8785
nostr.tadryanom.me,43.6532,-79.3832
wot.dtonon.com,43.6532,-79.3832
0x-nostr-relay.fly.dev,48.8575,2.35138
offchain.pub,39.1585,-94.5728
relay.plebeian.market,50.1109,8.68213
relay.tapestry.ninja,40.8054,-74.0241
nostr.robosats.org,64.1476,-21.9392
relay.libernet.app,43.6532,-79.3832
dev.relay.stream,43.6532,-79.3832
nostrbtc.com,43.6532,-79.3832
relay.toastr.net,40.8054,-74.0241
simplex.icu,50.1109,8.68213
relay.jeffg.fyi,43.6532,-79.3832
relay.satnam.pub,43.6532,-79.3832
chat-relay.zap-work.com,43.6532,-79.3832
relay.zone667.com,60.1699,24.9384
soloco.nl,43.6532,-79.3832
nestr.nedao.ch,47.0151,6.98832
relay.homeinhk.xyz,45.5152,-122.678
nostr.blankfors.se,60.1699,24.9384
nostr.islandarea.net,35.4669,-97.6473
zw.agorawlc.com,50.4754,12.3683
ve.agorawlc.com,50.4754,12.3683
nostrcheck.me,43.6532,-79.3832
relay-dev.satlantis.io,40.8302,-74.1299
relay.bornheimer.app,50.1109,8.68213
relay2.ngengine.org,43.6532,-79.3832
nostr.2b9t.xyz,34.0549,-118.243
bridge.tagomago.me,3.139,101.687
librerelay.aaroniumii.com,43.6532,-79.3832
wot.brightbolt.net,47.6732,-117.239
santo.iguanatech.net,40.8302,-74.1299
relay.satmaxt.xyz,43.6532,-79.3832
nostr.chrissexton.org,43.6532,-79.3832
spatia-arcana.com,34.0362,-118.443
dynasty.libretechsystems.xyz,55.4724,9.87335
srtrelay.c-stellar.net,43.6532,-79.3832
relay.puresignal.news,43.6532,-79.3832
nostr.dlcdevkit.com,40.0992,-83.1141
relay.nostr.place,32.7767,-96.797
relay.paulstephenborile.com,49.4543,11.0746
relay.notoshi.win,12.9333,100.883
relay.mmwaves.de,48.8575,2.35138
relay.getsafebox.app,43.6532,-79.3832
nostr.4rs.nl,49.0291,8.35696
relay.internationalright-wing.org,-22.5022,-48.7114
relay.ngengine.org,43.6532,-79.3832
nostr-server-production.up.railway.app,45.5019,-73.5674
npub1spxdug4m3y24hpx5crm0el4zhkk0wafs8kp6m0xu0wecygqej2xqq8gyhx.fips.network,43.6532,-79.3832
nostr-relay.cbrx.io,43.6532,-79.3832
fanfares.nostr1.com,38.6327,-90.1961
nostr-relay.xbytez.io,50.6924,3.20113
nostr.nodesmap.com,59.3327,18.0656
kasztanowa.bieda.it,43.6532,-79.3832
nostr.self-determined.de,53.5,10.25
relay.arx-ccn.com,50.4754,12.3683
purpura.cloud,43.6532,-79.3832
relay.evanverma.com,40.8302,-74.1299
relayone.soundhsa.com,39.1008,-94.5811
strfry.atlantislabs.space,43.6532,-79.3832
bucket.coracle.social,37.7775,-122.397
relay.anmore.me,49.281,-123.117
nostr.thebiglake.org,32.71,-96.6745
nostr.oxtr.dev,50.4754,12.3683
nostr.vulpem.com,49.4543,11.0746
nstr.a0a1.space,52.3563,4.95714
cs-relay.nostrdev.com,50.4754,12.3683
relay.nostu.be,40.4167,-3.70329
dev-nostr.bityacht.io,43.6532,-79.3832
relay.wavefunc.live,39.7392,-104.99
v-relay.d02.vrtmrz.net,34.6937,135.502
nostr.zoracle.org,45.6018,-121.185
nostr.na.social,43.6532,-79.3832
relay.nostrdice.com,-33.8688,151.209
relay.vantis.ninja,43.6532,-79.3832
nostr.mom,50.4754,12.3683
dev.relay.edufeed.org,49.4521,11.0767
relay.nostr.net,43.6532,-79.3832
nostr.noones.com,50.1109,8.68213
relay.henryxplace.eu.org:9988,31.2304,121.474
